2022,2022-12,173,13131.03
2022,2022-11,203,26116.73
2022,2022-10,204,17335.50
2022,2022-09,192,19995.98
2022,2022-08,207,27322.22
2022,2022-07,209,39235.38
2022,2022-06,190,29816.31
2022,2022-05,193,37431.50
2022,2022-04,198,24350.33
2022,2022-03,185,18877.91
2022,2022-02,172,19560.66
2022,2022-01,202,23666.08
2023,2023-12,170,21123.84
2023,2023-11,180,18407.49
2023,2023-10,194,36747.76
2023,2023-09,183,22629.41
2023,2023-08,168,22505.85
2023,2023-07,211,34721.74
2023,2023-06,186,28475.70
2023,2023-05,165,17323.02
2023,2023-04,183,20263.89
2023,2023-03,184,29588.70
2023,2023-02,170,25212.34
2023,2023-01,196,24838.10
2024,2024-12,192,27444.17
2024,2024-11,158,18944.55
2024,2024-10,166,19562.95
2024,2024-09,169,22144.99
2024,2024-08,165,15238.34
2024,2024-07,213,21403.06
2024,2024-06,180,28776.82
2024,2024-05,175,26797.33
2024,2024-04,200,22908.17
2024,2024-03,173,20667.28
2024,2024-02,188,24746.16
2024,2024-01,198,23248.72
2025,2025-01,193,21972.51
